Feature,Importance
cat__country_EGY,4.492664084311584e-05
cat__country_SRB,4.481319833828744e-05
cat__country_URY,4.015113159143039e-05
cat__country_MKD,3.9159236629523405e-05
cat__country_ISL,3.833791354017432e-05
cat__country_ECU,3.772678871522269e-05
cat__country_PAK,3.700139004627207e-05
cat__country_KWT,3.621520973703901e-05
cat__country_MCO,3.462282688083348e-05
cat__country_OMN,3.402017427557808e-05
cat__country_GAB,3.200321668794578e-05
cat__reserved_room_type_L,3.0791570152642306e-05
cat__country_PAN,3.078115283938328e-05
cat__country_CRI,3.006782222451748e-05
cat__country_CMR,2.983305938088562e-05
cat__country_TZA,2.9139994428515492e-05
cat__country_QAT,2.7265286882710246e-05
cat__country_AND,2.712534765452776e-05
cat__country_ARM,2.4999703343605104e-05
cat__country_SEN,2.315817983912372e-05
cat__country_ZMB,2.2709361400703606e-05
cat__country_MUS,2.1305564067616637e-05
cat__market_segment_Undefined,1.9756764382465264e-05
cat__country_NAM,1.9148469047563895e-05
cat__country_BGD,1.885635640452144e-05
cat__country_BHR,1.62172236327782e-05
cat__country_AZE,1.5048974872595893e-05
cat__country_MAC,1.4536272779433159e-05
cat__country_DOM,1.385253176030318e-05
cat__country_ZWE,1.3774558854451205e-05
cat__country_GHA,1.3645457226971276e-05
cat__country_JEY,1.2094671968518782e-05
cat__assigned_room_type_L,1.1863377659210863e-05
cat__country_SYC,1.1692329132495529e-05
cat__country_JOR,1.1663418337673296e-05
cat__country_HND,1.1629620173733924e-05
cat__country_RWA,1.1086173331926825e-05
cat__country_SUR,1.0455319947202521e-05
cat__country_JAM,9.51925519981291e-06
cat__country_TGO,9.472015585713435e-06
cat__country_BIH,9.414518959446945e-06
cat__country_UGA,6.805870069224428e-06
cat__country_TMP,6.299353993806747e-06
cat__country_ALB,6.1653372489813915e-06
cat__country_GNB,5.594274803251691e-06
cat__country_BOL,5.393755731103682e-06
cat__country_IMN,5.3708333872149545e-06
cat__country_BEN,5.179054561465784e-06
cat__country_PLW,4.712424087963896e-06
cat__country_IRQ,4.618477110616761e-06
cat__country_LIE,3.927620631518797e-06
cat__country_DJI,3.860589043360695e-06
cat__deposit_type_No De,3.4276483561306308e-06
cat__country_KHM,3.0756247023222277e-06
cat__country_ATA,3.0236346479548896e-06
cat__country_PRI,2.905569411258888e-06
cat__country_KEN,2.604462635891917e-06
cat__country_LBY,2.5609992326486632e-06
cat__country_ABW,2.407723241481551e-06
cat__country_DMA,2.376683130552183e-06
cat__country_VGB,2.253431109354928e-06
cat__country_UMI,2.230034176276963e-06
cat__country_NIC,2.186788723093223e-06
cat__country_FJI,1.9783781744471337e-06
cat__country_CUB,1.6895208491971848e-06
cat__country_PRY,1.4519384086958952e-06
cat__country_CAF,1.396149691139408e-06
cat__country_CIV,1.3619109511458183e-06
cat__country_BFA,1.1623373979296035e-06
cat__country_LKA,1.1544337686745817e-06
cat__country_GLP,1.1421607052943595e-06
cat__country_BWA,1.11137726665715e-06
cat__country_BRB,9.339135789395125e-07
cat__country_ETH,7.822436315032783e-07
cat__country_VNM,7.052801644907261e-07
cat__country_MYT,6.890397870425053e-07
cat__country_STP,6.870289558781414e-07
cat__country_KNA,5.248446903593135e-07
cat__country_COM,4.038209514184519e-07
cat__country_FRO,3.716327875995446e-07
cat__country_SLV,3.3778615391917837e-07
cat__country_MMR,3.096542232099584e-07
cat__country_LCA,2.794398472724776e-07
cat__country_BDI,2.4845661511094855e-07
cat__country_MNE,2.4365614873522084e-07
cat__country_BHS,2.2279966091450033e-07
cat__country_PYF,1.94612382415198e-07
cat__country_CYM,1.852125277126737e-07
cat__country_SMR,1.5573135884492903e-07
cat__country_MDG,7.300707994674909e-08
cat__country_UZB,5.125950742260807e-08
cat__country_MWI,1.683696282411045e-08
